filename,label
train/train_s_000307.png,train
train/train_s_001934.png,train
train/freight_train_s_000076.png,train
train/train_s_001520.png,train
train/car_train_s_001109.png,train
train/train_s_001800.png,train
train/railroad_train_s_000042.png,train
train/railroad_train_s_000933.png,train
train/boat_train_s_000505.png,train
train/freight_train_s_000013.png,train
train/train_s_001394.png,train
train/car_train_s_000946.png,train
train/train_s_000086.png,train
train/car_train_s_001198.png,train
train/train_s_000022.png,train
train/car_train_s_001159.png,train
train/train_s_002172.png,train
train/boat_train_s_001033.png,train
train/train_s_001416.png,train
train/train_s_000629.png,train
train/freight_train_s_000220.png,train
train/railroad_train_s_000625.png,train
train/railroad_train_s_001207.png,train
train/train_s_000534.png,train
train/train_s_001372.png,train
train/freight_train_s_000297.png,train
train/train_s_002418.png,train
train/train_s_001851.png,train
train/railroad_train_s_001168.png,train
train/train_s_000031.png,train
train/railroad_train_s_000865.png,train
train/railroad_train_s_000912.png,train
train/freight_train_s_000157.png,train
train/railroad_train_s_001046.png,train
train/boat_train_s_000779.png,train
train/train_s_002808.png,train
train/freight_train_s_000083.png,train
train/train_s_000502.png,train
train/train_s_000855.png,train
train/train_s_002167.png,train
train/train_s_000001.png,train
train/train_s_000718.png,train
train/railroad_train_s_001038.png,train
train/railroad_train_s_000967.png,train
train/train_s_000157.png,train
train/railroad_train_s_001773.png,train
train/train_s_001970.png,train
train/train_s_001654.png,train
train/car_train_s_001932.png,train
train/boat_train_s_000956.png,train
train/railroad_train_s_001323.png,train
train/railroad_train_s_000739.png,train
train/train_s_000032.png,train
train/train_s_001243.png,train
train/train_s_001245.png,train
train/train_s_000318.png,train
train/railroad_train_s_000950.png,train
train/train_s_000361.png,train
train/train_s_001314.png,train
train/train_s_002424.png,train
train/railroad_train_s_000484.png,train
train/railroad_train_s_000826.png,train
train/train_s_000083.png,train
train/freight_train_s_000177.png,train
train/car_train_s_000208.png,train
train/car_train_s_000585.png,train
train/railroad_train_s_000101.png,train
train/train_s_000435.png,train
train/train_s_000897.png,train
train/car_train_s_001798.png,train
train/railroad_train_s_001786.png,train
train/railroad_train_s_000934.png,train
train/train_s_001417.png,train
train/train_s_001703.png,train
train/railroad_train_s_000931.png,train
train/freight_train_s_000008.png,train
train/train_s_003028.png,train
train/train_s_000134.png,train
train/railroad_train_s_001790.png,train
train/railroad_train_s_001367.png,train
train/train_s_000192.png,train
train/train_s_003163.png,train
train/freight_train_s_000024.png,train
train/railroad_train_s_001061.png,train
train/train_s_002803.png,train
train/railroad_train_s_000129.png,train
train/car_train_s_000281.png,train
train/boat_train_s_000268.png,train
train/train_s_000074.png,train
train/freight_train_s_000223.png,train
train/train_s_000889.png,train
train/train_s_000512.png,train
train/train_s_001340.png,train
train/railroad_train_s_000405.png,train
train/train_s_002561.png,train
train/car_train_s_000014.png,train
train/car_train_s_000149.png,train
train/railroad_train_s_000002.png,train
train/train_s_001423.png,train
train/train_s_001892.png,train
train/train_s_000155.png,train
train/railroad_train_s_000294.png,train
train/railroad_train_s_001738.png,train
train/car_train_s_000043.png,train
train/railroad_train_s_001132.png,train
train/car_train_s_001424.png,train
train/train_s_001640.png,train
train/car_train_s_000101.png,train
train/train_s_002440.png,train
train/train_s_001020.png,train
train/train_s_001003.png,train
train/railroad_train_s_001170.png,train
train/train_s_001887.png,train
train/car_train_s_001330.png,train
train/car_train_s_001877.png,train
train/freight_train_s_000014.png,train
train/train_s_001419.png,train
train/railroad_train_s_001629.png,train
train/train_s_000995.png,train
train/train_s_001420.png,train
train/train_s_003146.png,train
